Name,Group,Profile,Enabled,Action,Override,Program,Local Address,Remote Address,Protocol,Local Port,Remote Port,Authorized Computers,Authorized Local Principals,Local User Owner,PolicyAppId,Application Package,
Feedback Hub,Feedback Hub,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe,
File and Printer Sharing (Echo Request - ICMPv4-Out),File and Printer Sharing,Domain,No,Allow,No,System,Any,Any,ICMPv4,Any,Any,Any,Any,Any,None,Any,
File and Printer Sharing (Echo Request - ICMPv4-Out),File and Printer Sharing,Private, Public,No,Allow,No,System,Any,Local subnet,ICMPv4,Any,Any,Any,Any,Any,None,Any,
File and Printer Sharing (Echo Request - ICMPv6-Out),File and Printer Sharing,Domain,No,Allow,No,System,Any,Any,ICMPv6,Any,Any,Any,Any,Any,None,Any,
File and Printer Sharing (Echo Request - ICMPv6-Out),File and Printer Sharing,Private, Public,No,Allow,No,System,Any,Local subnet,ICMPv6,Any,Any,Any,Any,Any,None,Any,
File and Printer Sharing (LLMNR-UDP-Out),File and Printer Sharing,All,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,Any,5355,Any,Any,Any,None,Any,
File and Printer Sharing (NB-Datagram-Out),File and Printer Sharing,Private, Public,No,Allow,No,System,Any,Local subnet,UDP,Any,138,Any,Any,Any,None,Any,
File and Printer Sharing (NB-Datagram-Out),File and Printer Sharing,Domain,No,Allow,No,System,Any,Any,UDP,Any,138,Any,Any,Any,None,Any,
File and Printer Sharing (NB-Name-Out),File and Printer Sharing,Private, Public,No,Allow,No,System,Any,Local subnet,UDP,Any,137,Any,Any,Any,None,Any,
File and Printer Sharing (NB-Name-Out),File and Printer Sharing,Domain,No,Allow,No,System,Any,Any,UDP,Any,137,Any,Any,Any,None,Any,
File and Printer Sharing (NB-Session-Out),File and Printer Sharing,Domain,No,Allow,No,System,Any,Any,TCP,Any,139,Any,Any,Any,None,Any,
File and Printer Sharing (NB-Session-Out),File and Printer Sharing,Private, Public,No,Allow,No,System,Any,Local subnet,TCP,Any,139,Any,Any,Any,None,Any,
File and Printer Sharing (SMB-Out),File and Printer Sharing,Domain,No,Allow,No,System,Any,Any,TCP,Any,445,Any,Any,Any,None,Any,
